Tú tomarás.,Nde pejapyhyt.
Yo cargaba a vuestros peones.,Che amyenyhẽmi pene mba'apohárakuérape.
Nosotras no mantendremos esos animales.,Ñande nañamongaruit umi tymbakuéra.
Vosotros sujetasteis.,Peẽ pemombytakuri.
Él no fortaleció aquel saber.,Ha'e nomombareteikuri amo pokuaa.
Nosotros uníamos.,Ore rojuajumi.
Tú confundirás.,Nde pemoapañuãit.
Ellos establecen aquellos niños.,Ha'ekuéra omohenda umi mitãkuimba'ekuéra.
Vosotras no aproximáis las amnistías.,Peẽ napembojai ñyrõnguéra.
Yo sostengo estos objetivos.,Che ajoko ã hupytypyrãnguéra.
Tú no limitas vuestras antigüedades.,Nde ndapejai pene ymaguarekuéra.
Vosotros no ubicáis vuestros temores a los estreñimientos.,Peẽ napemohendai pende kyhyjekuéra tekakapa'ãnguérape.
Ellas no quiebran.,Nomopẽi hikuái.
Vos no ofreciste.,Nde ndaperopojáirikuri.
Nosotras no diferiremos.,Ñande nañambohasait.
Él no giró.,Ha'e ndojereikuri.
Nosotros no ofrecimos.,Ore norokuave'ẽikuri.
Nosotros sonamos.,Ñande jagualalakuri.
Nosotros sonamos.,Ñande japu.
Él no correrá.,Ha'e nombirikirit.
Ellas no disponen.,Ha'ekuéra nomoĩri.
Nosotras no negamos nuestras sanciones.,Ore norombotovei ore ñembohepykuéra.
Nosotras no negamos nuestras sanciones.,Ñande nañambotoveikuri ore ñembohepykuéra.
Ellas no quedarán.,Ndopytait hikuái.
Ellos trasladaron.,Orovakuri hikuái.
Ellos no plegaban.,Ndojapakuaimi hikuái.
Ella dirigió.,Ha'e osãmbyhykuri.
Tú gritaste.,Nde pesapukáikuri.
Ellos no necesitarán.,Nokotevẽit hikuái.
Yo molesto.,Che ako'õ.
Ellos no rumoreaban esos eructos.,Ha'ekuéra noñe'ẽimi umi éukuéra.
Ellas no iniciaban.,Noñepyrũimi hikuái.
Ella no ríe nuestros clubes.,Ha'e ndopukai ore klukuéra.
Vos visitaste vuestros peligros.,Nde pepoandukuri pene mongyhyjehakuéra.
Nosotros no ensuciamos estas secciones.,Ore noromomarãi ã vokuéra.
Nosotros no ensuciamos estas secciones.,Ñande nañamomarãikuri ko'ã ñekytĩnguéra.
Tú no diferenciarás.,Nde napembojoavyit.
Ellos no esconden.,Ha'ekuéra nomoñemiri.
Vosotros no cocíais.,Peẽ napembojyimi.
Yo intercambiaba aquella flatulencia.,Che amyengoviami aipo tyevu.
Vosotras desarrollasteis.,Peẽ pemopu'ãkuri.
Vosotras pararéis sobre aquellas protestas.,Peẽ pepytat umi ñe'ẽngurukuéra ári.
Vosotras voláis.,Peẽ petutu.
Ellas ofrecieron hasta el silbido.,Oropojáikuri meve mevehikuái turuñe'ẽ.
Él vale.,Ha'e ovale.
Ellos jugarán a aquellas enviadas.,Ha'ekuéra ombojarut umi temimondokuérape.
Vosotros poníais.,Peẽ pemohendami.
Vosotras no vetaréis aquellas maldades.,Peẽ napeñembotoveit umi ñañanguekuéra.
Yo no tenía.,Che ndarekoimi.
Yo no extenderé.,Che namoasãirit.
Nosotros no procedemos.,Ñande ndajajapoi.
Él emplea.,Ha'e oporu.
Ellas cedieron.,Ha'ekuéra ome'ẽkuri.
Ella parirá aquel año.,Ha'e omembyt aipo arajere.
Vosotros escucharéis esas poesías.,Peẽ pejapysakat umi ñe'ẽpapakuéra.
Yo dudé.,Che apy'amokõikuri.
Ellos no escaparán.,Ha'ekuéra ndotutuit.
Vosotras no encontrasteis.,Peẽ ndapejohuikuri.
Nosotros no tiramos.,Ñande ndajaityikuri.
Nosotros no tiramos.,Ore ndoroityi.
Vosotras encimaréis estas profundidades.,Peẽ pejo'at ã typykuéra.
Tú cargaste.,Nde pemyenyhẽkuri.
Nosotros creeremos para los queridos.,Ñande jajeroviat rayhupárakuéra g̃uarã.
Nosotros no subíamos.,Ore ndorojupirimi.
Nosotras no socorremos nuestras oradoras a esos rechazos.,Ore noropytyvõi ñande jejuru'óvakuéra umi ñembotovekuérape.
Vosotras halláis esas épocas.,Peẽ pejuhu umi árakuéra.
Ella no beneficiará.,Ha'e ndopojopyit.
Ella no prevaleció.,Ha'e ndopu'akaikuri.
Nosotras no preguntaremos nuestras apariciones para aquella norma.,Ore noroporanduit ore anguekuéra amo tekorã g̃uarã.
Ellas obraban.,Ha'ekuéra omba'apomi.
Vosotros no reconoceréis.,Peẽ ndapekuaait.
Él vuela las conversaciones.,Ha'e otutu mongetakuéra.
Ellos compusieron nuestro entendimiento.,Ha'ekuéra opyahakuri ñane apytu'ũ.
Vos ponías.,Nde pemohendami.
Yo prestaba estas imposibilidades al retazo.,Che aporukami ã ikatu'ỹhakuéra pehẽnguepe.
Yo prestaba estas imposibilidades al retazo.,Che aporukami ã ikatu'ỹhakuéra pehẽnguepe.
Tú no paseaste sobre esas mujeres.,Nde ndapeguataikuri umi rembirekokuéra ári.
Yo no trabajaba.,Che namba'apoimi.
Nosotros no rasurábamos mi final.,Ore noroñapĩrimi che apýra.
Él no cambiaba vuestras tolerancias.,Ha'e nomoambueimi pene ñembotavykuéra.
Nosotros moramos.,Ñande jaikokuri.
Nosotros moramos.,Ore roiko.
Ella tendía.,Ha'e omosaingomi.
Yo ocupaba.,Che ajokuáimi.
Ellas nacen vuestras posibilidades.,Oararecha hikuái pende jakuéra.
Ellas no conducían.,Ha'ekuéra nomboguataimi.
Nosotras no ofrecimos.,Ore ndororopojáirikuri.
Yo no ubiqué.,Che namohendaikuri.
Ellos encaminan.,Ha'ekuéra ombohape.
Él alegrará.,Ha'e ombopy'aporãt.
Ellos no abrevian vuestros saberes.,Nomombykyi pende pokuaakuéra hikuái.
Yo ambicioné nuestras santidades.,Che arekosekuri ñane marane'ỹnguéra.
Nosotros no viviremos nuestro libro.,Ore ndoroikoveit ñande kuatia.
Vosotras poseeréis aquel clamor.,Peẽ peguerekot aipo sapukái.
Él comparó esa localidad.,Ha'e ombojojakuri ku táva.
Yo no seguía.,Che namuñaimi.
Vosotros no radicáis.,Peẽ napembohapoi.
Ella retaba vuestros acontecimientos.,Ha'e oñe'ẽreitymi pene tembiasakuéra.
Yo regreso.,Che ajevy.
Tú harás.,Nde pejapot.
Vosotros no hacéis.,Peẽ napemba'apoi.
Ellos movieron.,Omomýikuri hikuái.
Él migrará.,Ha'e ovat.
Vosotros leeréis.,Peẽ pemoñe'ẽt.
Ella no hacía.,Ha'e ndojapoimi.
Vos fortalecerás vuestro contratiempo.,Nde pemohatãt pene pane.
Vosotras vibraréis para las promociones.,Peẽ pesysýit ñemotenondekuéra g̃uarã.
Ellos salen.,Ha'ekuéra osẽ.
Ella reducía desde vuestra cortesía.,Ha'e omombovymi pene tekoporã guive.
Nosotras no fluimos.,Ñande ndajachivirikuri.
Nosotras no fluimos.,Ñande ndajachiviviri.
Nosotras acogíamos.,Ore romoguahẽmi.
Nosotras no principiábamos ese documento.,Ore noroñepyrũimi ku kuatia.
Nosotros no beneficiamos.,Ñande ndajapojopyikuri.
Nosotros no beneficiamos.,Ore ndoropojopyi.
Vosotras trataréis.,Peẽ peñe'ẽt.
Yo no abrazaba.,Che nañañuvãimi.
Él no tomaba.,Ha'e ndehoi'uimi.
Ellas no abrigan nuestros pies con esa cantidad.,Noñuvãi hetakuendi ñande pykuéra hetakuendihikuái ku.
Ella maduraba.,Ha'e ombyajumi.
Ella no diferencia.,Ha'e nombojoavyi.
Vosotras participasteis.,Peẽ pemomarandukuri.
Vosotras no venceréis.,Peẽ ndapepu'akait.
Ella no crecía.,Ha'e ndokakuaaimi.
Nosotros prestamos las cesiones.,Ore roporuka ñeme'ẽnguéra.
Nosotros prestamos las cesiones.,Ñande japorukakuri ñeme'ẽnguéra.
Vosotros prosperasteis.,Peẽ peñakãrapu'ãkuri.
Ellos asegurarán vuestras costumbres.,Ha'ekuéra omombaretet pende tekorekokuéra.
Él coincidirá por nuestras etapas.,Ha'e oñe'ẽjojat ore ararasakuéra rehe.
Vosotras trabajaréis vuestras líneas.,Peẽ pemba'apot pende haikuéra.
Vosotros sufrís desde nuestros rescates.,Peẽ perasy ore pysyrõnguéra guive.
Nosotras no renovaremos aquellos gatos.,Ore norombopyahuit umi mbarakajakuéra.
Nosotras no uniremos.,Ore noroñopẽit.
Vosotros manasteis la puesta sobre vuestro abandono.,Peẽ pesyrykuri ñemoĩ pende jei ári.
Ella no extenderá.,Ha'e ndopysoit.
Ella no rascó estas historias.,Ha'e nokarãirikuri ko'ã tembiasakuekuéra.
Vosotras no cargáis.,Peẽ napemyenyhẽi.
Vos inclinaste vuestras ventajas sobre vuestros empleos.,Nde pemokarapãkuri pene changuikuéra pene mba'apohakuéra ári.
Tú investigas.,Nde pepovyvy.
Tú festejas este segmento a estos descubridores.,Nde perohory ko pehẽngue ko'ã juhuhakuérape.
Vosotras no fluisteis.,Peẽ ndapechivirikuri.
Tú no precisas desde ese límite.,Nde napekotevẽi pe ja guive.
Yo coceré.,Che ambojyt.
Él compromete.,Ha'e oporoapytĩ.
Él emplea.,Ha'e oporu.
Ella no iniciaba.,Ha'e noñepyrũimi.
Él ponía.,Ha'e omoĩmi.
Ella no trabajaba.,Ha'e nomba'apoimi.
Él trasladaba desde ese portón.,Ha'e ombovami ku okẽ guive.
Ellos no engrillan vuestro individuo.,Ndopykuai pene mbya hikuái.
Nosotras compusimos.,Ñande ñamoporãkuri.
Ellas no trabajaban.,Nomba'apoimi hikuái.
Vosotros viajabais.,Peẽ peguatami.
Vos cultivarás esa razón.,Nde peñemitỹt upe kuaaha.
Él comunicaba hasta vuestras dichas.,Ha'e okuaaukami pende po'akuéra peve.
Vosotras no quedabais.,Peẽ ndapepytaimi.
Yo no trataba.,Che nañemuimi.
Ellas no notificarán esas solitarias a ese documento.,Ha'ekuéra nomomarandukait umi tyerasokuéra pe kuatiape.
Ellos no obraron.,Ha'ekuéra ndokakaikuri.
Ella nada.,Ha'e ojepokuita.
Nosotras entendemos.,Ore rokumby.
Ellos no compondrán.,Ha'ekuéra nomoporãit.
Nosotros torturamos esas pieles a vuestro discurso.,Ñande ñambyepoti umi apekuéra pene ñemoñe'ẽme.
Nosotros torturamos esas pieles a vuestro discurso.,Ñande ñambosaráikuri umi pirekuéra pene ñe'ẽme.
Ella no sumaba.,Ha'e ndopapaimi.
Vosotras no cortabais vuestra pertenencia.,Peẽ napekytĩrimi pene mba'e.
Él prepara a esta s.,Ha'e ombosako'i ko syvape.
Nosotros movilizaremos.,Ñande ñamongu'et.
Vos no redujiste.,Nde napemomichĩveikuri.
Nosotras no manifestamos.,Ñande ndero'yitakuri.
Nosotras no manifestamos.,Ñande ndeja'yita.
Él cierra el club con sus representantes.,Ha'e omboty klu ipyruhakuéra ndive.
Él reglamentaba hasta vuestras palabras.,Ha'e ombohapemi pene ñe'ẽnguekuéra meve.
Él no tenía.,Ha'e ndoguerekoimi.
Nosotras no tendimos.,Ñande nañamosaingoikuri.
Él enlazaba en ese relato.,Ha'e omosãmi ku mombe'upe.
Ellos establecieron.,Ha'ekuéra omohendakuri.
Nosotros escapamos a nuestra marca.,Ore ropykúikuri ore perepe.
Nosotros escapamos a nuestra marca.,Ore rojehekýi ñande porepe.
Ellos no entrevistaban.,Noñomongetaimi hikuái.
Ella caminó.,Ha'e oguatakuri.
Tú reinas.,Nde peporosãmbyhy.
Tú no rendías nuestra nómina.,Nde napembososoimi ñande teraryru.
Yo refería.,Che akuaaukami.
Yo no rodeé.,Che nambojereikuri.
Él no tumbó para esas razones.,Ha'e nomongúirikuri umi kuaahakuéra g̃uarã.
Ella no trata.,Ha'e noñemui.
Vosotras expresaréis.,Peẽ pe'ytat.
Nosotros no uníamos.,Ore norombojojaimi.
Vosotras complicabais aquella reflexión a esos envíos.,Peẽ pembohasymi amo py'amongeta umi ñemondokuérape.
Ellos no hinchaban.,Ha'ekuéra nombovuimi.
Nosotros no comenzamos.,Ñande nañañepyrũikuri.
Nosotros no comenzamos.,Ñande nañañepyrũi.
Nosotros no tableteamos nuestras tiradas en nuestras solicitudes.,Ñande nañambohyapui ñande jepoikuéra ore mba'ejerurekuérape.
Nosotros no tableteamos nuestras tiradas en nuestras solicitudes.,Ore norombohyapuikuri ñande jepoikuéra ore mba'ejerurekuérape.
Vosotros no fuisteis.,Peẽ ndapehoikuri.
Yo hincho.,Che amoapeno.
Ella meditaba.,Ha'e opy'amongetami.
Vosotros vendréis.,Peẽ pehua'ĩt.
Nosotras no dependeremos.,Ñande nañasaingoit.
Él podía aquella ribera.,Ha'e okatumi ako rembe'y.
Yo no trasladaré.,Che ndarojait.
Yo no obré.,Che namba'apoikuri.
Ellos no harán esta viruela para este servicio.,Nomba'apoit ko kuru hikuái ko pytyvõ g̃uarã.
Vosotras espaciáis aquellos secretos.,Peẽ pemopa'ũ umi ñemihakuéra.
Vosotros acertaréis.,Peẽ pejapit.
Yo suspiré.,Che apy'ahokuri.
Él admiraba.,Ha'e omomba'emi.
Ellos no provenían.,Ha'ekuéra noñemboypyimi.
Ella estará.,Ha'e oimet.
Yo no vengo.,Che ndaui.
Nosotros rozamos tu indígena.,Ñande jahavere nde ava.
Nosotros rozamos tu indígena.,Ore roñopũkuri nde ava.
Vosotras no disponéis sobre estos sumergimientos.,Peẽ napemoĩri ko'ã yguykuéra ári.
Yo no ponía.,Che namoĩrimi.
Yo no comprometo.,Che naporoapytĩri.
Él vencerá con las pordioseras.,Ha'e opu'akat tupãmba'ejárakuéra ndive.
Yo no hería vuestra paga.,Che ndajapirimi pene tepyme'ẽ.
Vosotras efectuáis ese seguidor.,Peẽ pejapo ku rapykuerigua.
Ella no gustaba.,Ha'e nokumbyimi.
Él consuela vuestra lagartija.,Ha'e omomytuẽ pene ambere.
Nosotros no pensábamos hasta nuestro golpe.,Ñande nañaimo'ãimi ore ñembota meve.
Yo no tiraba sobre esos remates.,Che naha'ãimi umi apýrakuéra ári.
Él enfrenta hasta mi policía.,Ha'e ombojovái che tahachi peve.
Ellos paran hasta esa necesidad.,Omombyta hikuái ku kotevẽ meve.
Ellos movilizarán hasta esa respuesta.,Omongu'et hikuái ku mbohovái meve.
Nosotros no morimos.,Ore ndoroarapaikuri.
Nosotros no morimos.,Ore noromanoi.
Ellas no hacen.,Ha'ekuéra nomba'apoi.
Tú no plantaste el recuerdo a esa ironía.,Nde napeñotỹikuri py'aho ku ñembohorype.
Ella no representaba nuestro acertijo.,Ha'e nomoha'angaimi ñane kuaapyrã.
Tú no subiste.,Nde napembojupirikuri.
Él no operaba esas escritoras.,Ha'e notyembovoimi umi kuatiahaihárakuéra.
Vosotras contagiabais vuestros avisos.,Peẽ pembohasymi pene momarandukuéra.
Vosotros cortáis.,Peẽ pekytĩ.
Ellos dependen.,Ha'ekuéra osaingo.
Tú no tenías.,Nde ndapeguerekoimi.
Yo no trasladaré por aquellos procederes.,Che ndarojait umi tembiapokuéra rupi.
Ellos no rechazarán vuestro servidor.,Ha'ekuéra nombojevyit pene tembijokuái.
Vosotros no unisteis sobre nuestro mundo.,Peẽ napembojuajuikuri ore yvy ári.
Él no hundió.,Ha'e nomoñapymirikuri.
Ellas no nadaron.,Ha'ekuéra ndojepokuitaikuri.
Vosotras finalizaréis.,Peẽ pemombat.
Yo no actuaré.,Che namba'apoit.
Nosotras no pelearemos.,Ñande nañañombuepotirit.
Yo no descendía.,Che ndaguejyimi.
Nosotras no llevamos.,Ñande ndajaguerahaikuri.
Nosotras no llevamos.,Ñande ndajarahai.
Nosotras entregamos.,Ñande ñambopojáikuri.
Nosotras entregamos.,Ñande ñambopojái.
Vos no compones.,Nde napemoporãi.
Vosotras haréis por esta nivelación.,Peẽ pemba'apot ko ñembojojare.
Tú lamentabas aquella zanja.,Nde perombyasymi aipo yvy'ã.
Nosotras unimos a vuestras muchachas.,Ore rombojuajukuri pene mitãrusukuérape.
Nosotras unimos a vuestras muchachas.,Ore rombojuapy pende karia'ykuérape.
Ella contaba los gabinetes.,Ha'e opapami kotykuéra.
Nosotros almorzábamos.,Ore rokarumi.
Vos no creciste la ejecutora.,Nde ndapekakuaaikuri apohare.
Ella no referirá.,Ha'e ndokuaaukait.
Ellos reconocieron en vuestros fríos.,Okuaakuri hikuái pene to'ysãnguérape.
Yo tenía.,Che aguerekomi.
Ellos introducirán.,Ha'ekuéra omoinget.
Ella no sobrevivió.,Ha'e ndoikoveikuri.
Nosotras no portaremos.,Ñande ndajaruit.
Vosotros no sumergisteis.,Peẽ napembo'yguyikuri.
Ellos romperán.,Ha'ekuéra omondosot.
Ella enlazará.,Ha'e ojurat.
Yo no edifico aquel sendero.,Che ndajogapoi aipo guataha.
Ellos tomaban.,Ha'ekuéra opo'omi.
Ella desarrolló.,Ha'e omongakuaakuri.
Nosotras no llegaremos.,Ore noroguahẽit.
Ella corría.,Ha'e ombirikimi.
Tú no refieres.,Nde ndapekuaaukai.
Tú no trataste.,Nde napeñe'ẽikuri.
Ellos vendrán.,Out hikuái.
Ella detuvo estas preservaciones a aquellos montones.,Ha'e ojokokuri ko'ã ñangarekokuéra umi tetakuérape.
Él no tendía.,Ha'e nomosaingoimi.
Nosotras aburríamos ese costado.,Ñande ñambuajumi ku yke.
Yo no adheriré estas labores.,Che ndajuajuit ã tembiapokuéra.
Ellas morían.,Ha'ekuéra omanomi.
Tú recibirás vuestras garzas.,Nde pemoguahẽt pende hokokuéra.
Vosotros refrescaréis nuestras reclusiones a estos momentos.,Peẽ pembopiro'yt ore ñembotykuéra ko'ã sapy'akuérape.
Él fortalecerá aquellas demostraciones de vuestro privilegio.,Ha'e omohatãt umi jehechaukakuéra pende katuvehagua.
Nosotros no salíamos.,Ñande nañasẽimi.
Ellos cargarán.,Omyenyhẽt hikuái.
Nosotras no obrábamos.,Ore noromba'apoimi.
Yo fracasaba.,Che ajavymi.
Tú no abochornas vuestra colaboración.,Nde ndapepichai pene pytyvõ.
Yo no precisaba.,Che nakotevẽimi.
Nosotros caímos.,Ore rokukúikuri.
Vosotros obraréis.,Peẽ pekakat.
Ellas no diferenciaban nuestro sello a aquella ocasión.,Nomoingoeimi jape ore ta'anga'i japehikuái aipo.
Él fluía.,Ha'e ochivivimi.
Él no accedía.,Ha'e noneĩrimi.
Ella trató.,Ha'e oñe'ẽkuri.
Vosotros no ligaréis.,Peẽ napembojoajuit.
Tú recuperaste vuestros hechizos.,Nde perojevykuri pende pajekuéra.
Vosotros metéis nuestras brujerías.,Peẽ peñoña ore pajekuéra.
Ellas dirigen los fraudes.,Ha'ekuéra osãmbyhy pokarẽnguéra.
Tú no mudas.,Nde ndapeguerovai.
Vosotras ubicáis esos gobiernos.,Peẽ pemohenda umi tekuáikuéra.
Ellas cenaban.,Ha'ekuéra okarumi.
Tú no paras esta maestra hasta vuestras fricciones.,Nde napemombytai ko moaranduhára pende jekytykuéra peve.
Ellos no ocuparon.,Ndojokuáirikuri hikuái.
Ellos no publicarán esas armas de estas oraciones.,Ha'ekuéra nomoherakuãit umi pojoapykuéra ko'ã ñembo'ekuéragui.
Él detenía.,Ha'e ojokomi.
Vos no lucirás.,Nde ndapejajáirit.
Vosotros no abriréis vuestro pedido.,Peẽ napemboty'oit pene tembijerure.
Ellos no almorzaban.,Norambosaimi hikuái.
Nosotras no podamos vuestros burros.,Ñande nañañapĩri pene mburikakuéra.
Nosotras no podamos vuestros burros.,Ore noroñapĩrikuri pene mburikakuéra.
Vosotros no sumaréis.,Peẽ ndapepapait.
Vosotras no lleváis estas calmas.,Peẽ ndapeguerahai ko'ã kirirĩnguéra.
Yo no creía.,Che ndaroviaimi.
Tú parirás esa mitad con la caña.,Nde pemembyt upe ku'a guari ndive.
Ellas usan aquellos pantanos.,Opuru hikuái umi yvysusũnguéra.
Él inició.,Ha'e oñepyrũkuri.
Él sumará.,Ha'e opapat.
Yo admiraba vuestra reparación sobre estas paradas.,Che amomba'emi pene ñemyatyrõ ko'ã jepytahakuéra ári.
Yo no parecía en esos partidarios.,Che nahi'ãimi umi rapykueriguakuérape.
Vosotras hicisteis.,Peẽ pemba'apokuri.
Yo no encontraba.,Che ndajohuimi.
Yo no iba.,Che ndahaimi.
Yo no sumaba.,Che ndapapaimi.
Nosotros vencíamos.,Ñande ñapyrũmi.
Vosotras hacéis.,Peẽ pemba'apo.
Vosotras no usasteis aquellos esclavos.,Peẽ ndapeporuikuri umi tembiguáikuéra.
Ella no calculaba las oraciones de nuestra revolución.,Ha'e ndopapaimi ñembo'ekuéra ore ñepu'ãgua.
Vosotros no difamaréis la propiedad.,Peẽ ndapekaguairit mba'e.
Ella gozará.,Ha'e ovy'at.
Tú no reconocías las etapas.,Nde ndapekuaaimi ararasakuéra.
Vosotras derribabais nuestro gemido.,Peẽ pemongúimi ore pyahẽ.
Vosotros no bajabais.,Peẽ ndapeguyimi.
Vosotros no resistiréis las reglas.,Peẽ ndapejyit apoukapykuéra.
Nosotros vertíamos vuestros enviados a ese informe.,Ore rohekuavomi pene temimboukuéra ku marandupe.
Ellas no ofrecerán.,Ndoropojáirit hikuái.
Vosotros entregasteis.,Peẽ peme'ẽkuri.
Tú pasarás la desaparición a esa trabajadora.,Nde peropojáit ñemohũ upe tembiapohárape.
Tú pasarás la desaparición a esa trabajadora.,Nde peikot ñemohũ upe tembiapohárape.
Yo no reconocía.,Che ndakuaaimi.
Vosotras no molestasteis en vuestro enviado.,Peẽ napemoñeko'õirikuri pene temimondope.
Ella no atacaba estos pumas.,Ha'e ndotakyimi ã jaguapytãnguéra.
Ella no debilitó aquellos secretarios.,Ha'e nombopy'akangyikuri umi pytyvõhakuéra.
Ellas no precisaban nuestra propina.,Nokotevẽimi hikuái ñande jo'aha.
Vos existes.,Nde peĩ.
Él no anegaba vuestras juezas.,Ha'e nomoñapymirimi pende yvyrajakuéra.
Vosotros no fracasasteis.,Peẽ ndapejavyikuri.
Vosotros lamentabais.,Peẽ pembyasymi.
Vosotras derrumbaréis vuestros proyectos.,Peẽ peityt pene ñeimo'ãnguéra.
Nosotros no fracasaremos.,Ñande ndajajavyit.
Nosotros fecundamos vuestras fuerzas.,Ore rombopuru'a pene mbaretekuéra.
Nosotros fecundamos vuestras fuerzas.,Ore rombopuru'akuri pene mbaretekuekuéra.
Nosotras adelantamos.,Ore romotenondekuri.
Nosotras adelantamos.,Ñande ñamotenonde.
Vosotras no mantendréis esta dilación con aquel nene.,Peẽ ndaperekoit ko ñembo'are ako mitã'i ndive.
Nosotras empleamos.,Ñande japorukuri.
Nosotras empleamos.,Ñande japoru.
Vos bajarás.,Nde peguejyt.
Nosotros no parecíamos.,Ore norohi'ãimi.
Yo no cuidé.,Che nañongatuikuri.
Ellos gustaban.,Okumbymi hikuái.
Vosotras no erraréis.,Peẽ ndapejejavyit.
Vosotras no hundíais desde vuestra explicación.,Peẽ napemoñapymirimi pene ñemohesakã guive.
Vosotras trabajaréis.,Peẽ pemba'apot.
Ellas no descendieron la boca.,Ha'ekuéra ndoguejyikuri juru.
Nosotras no pasaremos.,Ore ndororopojáirit.
Ellas escapan estas conspiraciones.,Ha'ekuéra otutu ã ñepu'ãnguéra.
Vosotros desapareceréis.,Peẽ pekañyt.
Ella preparaba desde estas morales.,Ha'e osako'imi ã marangatukuekuéra guive.
Vos no paras aquellas firmas.,Nde napemombytai umi teraguapykuéra.
Nosotros partimos sobre los locales.,Ore jahakuri ógakuéra ári.
Nosotros partimos sobre los locales.,Ore ropesẽ'ã ógakuéra ári.
Él utilizó ese discurso.,Ha'e opurukuri pe ñemoñe'ẽ.
Ellas cultivaban aquella instalación a los valles.,Oñemitỹmi yvytypa'ũnguérape aipo ñemoĩ yvytypa'ũnguérapehikuái.
Vosotros lucharéis.,Peẽ peñorairõt.
Él seguía.,Ha'e omoñami.
Vosotras dirigiréis.,Peẽ pesãmbyhyt.
Ella no compuso.,Ha'e nomoporãikuri.
Ella manejaba las misiones.,Ha'e omboguatami tembiaporãnguéra.
Tú no mudabas.,Nde ndapeguerovaimi.
Yo no rompía ese paseo.,Che nambo'irimi ku guata.
