Estas reclusiones introdujeron.,Ko'ã ñembotykuéra oñoñakuri.
Los ambientes no pronunciaron.,Jerehakuéra nomoñe'ẽikuri.
Aquel sobrenombre trascendió.,Ako hero oñemuasãikuri.
Vuestras gimnasias creerán.,Pende teteku'ekuéra ojeroviat.
Estas amistades no volvían.,Ko'ã ñoirũnguéra ndojevyimi.
Aquel préstamo empleará.,Amo jeporuka oporut.
Nuestras solidaridades quedarán por esas orugas.,Ñande jejopóikuéra opytat umi ysokuéra rupi.
Aquellos carácteres descendían de tu orden.,Umi rekokuéra oguejymi ne ñemohendagua.
Aquellas prepotencias no resumieron vuestra caída a vuestras narices.,Umi tova'atãnguéra nombuapu'aikuri pende je'a pene apynguakuérape.
Estos informes coincidieron.,Ko'ã marandukuéra oñe'ẽjojakuri.
Vuestra educación establece aquella flauta.,Pene mbo'e omohenda aipo mimby.
Esa afirmación no presentó.,Ku ñemoañete ndoruikuri.
El mercado no producía.,Ñemuha nomoheñóirimi.
Estos barrios no hallan.,Ko'ã tekohakuéra ndojuhui.
Nuestros lados no llevan el subsidio a estas chacras.,Ore ykekuéra ndoguerahai pytyvõ ã kapuérakuérape.
Esa fracción no insistirá.,Upe vore ndotu'uit.
Aquel rumbo pasea.,Amo taperã oguata.
Vuestra cartera no vive.,Pende voko ndoikovei.
El vaciamiento prestará.,Jehekuavo oporukat.
Este cordón no revelaba esos enviados.,Ko sã ndokuaaukaimi umi temimboukuéra.
El socio no investigaba.,Irũ nomboguyguyimi.
Vuestros suelos no callarán.,Pende yvykuéra norokirirĩrit.
Nuestros motes perdían.,Ñande herokuéra omokañymi.
Nuestras crías violentan vuestros temas.,Ore ñemoñanguéra ojasuru pene ñe'ẽmbyrãnguéra.
Nuestros tropeles no meterán.,Ore ko'ikuéra nomoingeit.
Ese restablecimiento participará.,Ku py'atã omomarandut.
Esta felicidad no flota de este administrador.,Ko py'arory ndovevúiri ko sãmbyhyhagua.
Aquellos hombres jugaban.,Umi kuimba'ekuéra oñembosaráimi.
El indicio no reconoció.,Techaukaha ndokuaaikuri.
Esa ave tocaba en las donaciones.,Ku guyra ohámami ñeme'ẽnguérape.
Vuestras evidencias vendrán hasta ese préstamo.,Pende techaukapykuéra out pe mba'epuru meve.
Este vehículo no gustaba.,Ko pororeraháva nokumbyimi.
Vuestras ristras limitarán.,Pene apesãnguéra omboapýrat.
Las poblaciones no plantaban.,Tetãnguéra noñemitỹimi.
Estas longitudes vigilaron estas opositoras.,Ã pukukuekuéra oma'ẽkuri ã mbohováivakuéra.
Nuestro regalo significaba.,Ore temime'ẽ o‘esemi.
Esa pena inició.,Ku ñembyasy oñepyrũkuri.
Vuestros guiños no habitaron.,Pende savikuéra noimeikuri.
Vuestros tamaños amanecían.,Pende sakuéra oko'ẽmi.
Esa mandataria no comunicó.,Ku mburuvicha ndokuaaukaikuri.
Vuestras creadoras enfrentarán.,Pende apoharekuéra ombohováit.
Esas imposiciones seguirán.,Umi jejopykuéra omuñat.
Vuestro enojo hablaba.,Pende jeguaru oñe'ẽmi.
Aquellas limpiezas no venían a nuestro jardín.,Umi potĩnguekuéra ndouimi ore yvotytype.
Estas aguas ordenaban aquel mantenimiento a este misterio.,Ã ykuéra omoatyrõmi aipo ñemyatyrõ ko ñemimbype.
Aquella excepción queda de tu donante.,Aipo sapy'amigua opyta ne me'ẽhagui.
Nuestros infiernos disminuyeron nuestros asesinatos.,Ore añaretãnguéra omomichĩkuri ore jejukakuéra.
Aquel espacio para.,Amo arapy ojoko.
Estas figuras valían.,Ã ta'angakuéra ovalemi.
Nuestro movimiento consentirá los vecinos.,Ñande jeku'e omoneĩt ogaykepeguakuéra.
Aquellas vejigas reparaban vuestro día.,Umi tyryrukuéra omyatyrõmi pende ára.
Vuestras cenas no lanzaron.,Pende karukuéra ndoityikuri.
Estos catarros no hacen.,Ko'ã tĩsyrykuéra ndojapoi.
Estas tentaciones no saltan.,Ko'ã ñeha'ãnguéra ndotutui.
Nuestro costo limitaba.,Ore repy omboapýrami.
Esos niños adulaban esas lepras hasta nuestras llamas.,Umi mitãkuimba'ekuéra ojapichymi umi kurukuéra ñane tataendykuéra meve.
Esas narradoras no tomaban.,Umi mombe'uhakuéra ndojavo'oimi.
Aquellas localidades limitaban.,Umi tendakuéra ojami.
Aquellos ancianos contaban desde vuestros dientes.,Umi lekajakuéra opapami pene tãinguéra guive.
Vuestro bostezo cruza.,Pende jejurupeka ombojuasa.
Nuestra nivelación juega.,Ore ñembojoja oñembosarái.
La maduración protestará.,Tyarõ ombohováit.
Aquellos vinos representaron este servidor a las perras.,Umi kaguykuéra omoha'angakuri ko tembiguái jaguakuérape.
Aquellos enviados cuidarán esa espuma.,Umi temimboukuéra oñangarekot ku tyjúi.
Vuestra playa no gustaba.,Pene rembe'y nokumbyimi.
Esta llamada adhirió.,Ko ñehenói ojuajukuri.
Nuestra morada callará.,Ñande tekoha orokirirĩt.
Aquella jefa echaba.,Aipo tendota omboitymi.
Vuestro catarro no insiste.,Pende hu'u ndotu'ui.
Estos hechos no hicieron.,Ko'ã jehupyrekuéra nomba'apoikuri.
Nuestras ventanas tardaban aquel aviso.,Ore rovetãnguéra oaremi aipo marandu.
Aquella carnada no crece el tiempo.,Amo pirarembi'u ndokakuaai ára.
Nuestra malevolencia no acerca estos caminos.,Ore ñañangue nomoaguĩri ã tapekuéra.
Aquellos postres no enlazaban.,Umi mahe'ẽnguéra ndojuraimi.
Nuestros desarrollos alumbran nuestras incisiones al producto.,Ore akãrapu'ãnguéra omyataindy ore ñekytĩnguéra tembiapokuepe.
Vuestro jovencito acicaló esos auditorios a nuestro examen.,Pene mitãrusu omoporãkuri umi tenduhakuéra ñane porandupyrãme.
Esa modalidad abrazará.,Upe teko oñuvãt.
Vuestros cementerios cortarán hasta esta llamada.,Pende tyvyokuéra okytĩt ko ñehenói meve.
Este par no volverá esta crianza.,Ko mokõi ndojevyit ko ñemoña.
El lugar expresará.,Tekoha ho'ytat.
Aquel ofidio triunfa.,Ako mbói oyvytu.
La muela celebra nuestro prójimo.,Tãi oropurahéi ore rapicha.
Nuestras bebidas llevaron.,Ore jey'urãnguéra oguerahakuri.
Estos hijos luchaban.,Ko'ã ra'akuéra oñorairõmi.
Aquel peón recogerá sobre este amo.,Ako mba'apohára omono'õt ko jára ári.
Aquellas peleas no podrán.,Umi ñorairõnguéra ndokuaait.
El pico comprometía.,Juru oporoapytĩmi.
Vuestra causa obrará para aquellas discordias.,Pende ypy omba'apot umi joavykuéra g̃uarã.
Aquellos manantiales echan.,Umi ykuakuéra omosẽ.
Ese nivel no reaccionó.,Ku yvatekue nopu'ãikuri.
Los estilos sumergirán.,Tekokuéra ombo'yguyt.
Vuestros contemporáneos pararán para nuestra chicota.,Pende javeguakuéra omombytat ñane tukumbo g̃uarã.
Aquel toque archivará ese ciudadano.,Ako jepoko oñongatut pe tetaguã.
Este sector explotaba esa fuente.,Ko pehẽngue okapumi ku ña'ẽmbe.
Esos suelos no abrirán con vuestra duda.,Umi yvykuéra ndope'ait pende py'aheta ndive.
Nuestras transiciónes esconden este ruedo.,Ore ñemoambuekuéra omokañy ko apu'a.
La voz sudó hasta la pena.,Ñe'ẽ ory'áikuri angekói meve.
Estos pueblos no mantuvieron.,Ko'ã távakuéra nomongaruikuri.
Aquel espectáculo utilizaba los saludos.,Amo techaukaha oporumi maiteikuéra.
Este derrumbe no sufre por vuestra posesión.,Ko jeity ndorasyi pende jererekohare.
Nuestros topes no escapaban.,Ñande apýrakuéra ndotutuimi.
La idiosincrasia no actuará sobre aquella española.,Teko nomba'apoit ako karaiñe'ẽ ári.
Los ahogos no privaron.,Pytuhokuéra ndope'aikuri.
Esa quemadura no sanó.,Upe kaigue nopohanoikuri.
Nuestro temor no obedeció.,Ore kyhyje noñe'ẽrenduikuri.
Nuestra pluma no defrauda aquella modalidad.,Ore hague nombotavyi amo teko.
Aquellos perros no ofrecerán a los manantiales.,Umi jaguakuéra nokuave'ẽit yvukuérape.
Nuestras conformidades no usan esas nacionalizaciones.,Ñane mboajekuéra ndopurui umi ñembohetãnguéra.
Vuestro conocimiento no cortará.,Pende pokuaa nokytĩrit.
Esta altura enfrenta.,Ko yvatekue ombohovái.
Aquella herramienta lleva.,Amo tembiporu ogueraha.
Nuestros primos no giraban.,Ore lopikuéra nopyryrỹirimi.
Vuestros quebrantos perturban ese ánimo.,Pende py'apykuéra omyangekói pe py'a.
Vuestra habla reflejaba la revolución.,Pene ñe'ẽ ojajáimi mbojere.
Estos obreros no condujeron de los arroyos.,Ã mba'apohárakuéra nosãmbyhyikuri ysyrykuéragui.
El parto derrumba esa favorita.,Membyrã oity upe tembiayhu.
Nuestra trompeta manará ese pasaje a nuestro calor.,Ñande guatapu osyryt upe hasaha ore jopepe.
Esos clavos no pintarán.,Umi kutuhakuéra nomboparait.
Nuestro misterio compromete.,Ore ñemimby oporoapytĩ.
Aquella visita enoja el esfuerzo.,Ako temiandu ombopochy ñeha'ã.
Esas camisetas no encontraban.,Umi kamisa'ikuéra ndojohuimi.
Vuestro respaldo no dura aquellos negociantes.,Pende jekoha ndoarei umi hepyme'ẽvakuéra.
Nuestras heridas no comenzarán hasta esos moradores.,Ore jekutukuéra noñepyrũit umi yvypórakuéra peve.
El recorrido no agarrará.,Guataha ndopojáirit.
Esta información no lleva.,Ko momarandu ndoguerahai.
Esas mesuras desaparecen.,Umi akãguapykuéra okañy.
Nuestra necesidad expresaba.,Ñande hýi ho'ytami.
Las mieles no siguen el chico por aquel nivel.,Eírakuéra nomuñai mitã'i amo jojahare.
Aquellas informaciones no acabarán con la bolsa.,Umi momarandukuéra nomohu'ãit sapikua ndive.
Esas formalidades no mandan esas arrogancias por el rebote.,Umi tekoañetekuéra ndojokuáiri umi ñembotuichakuéra guevire.
Vuestra pata no creció.,Pene tetyma nopu'ãikuri.
Vuestras bajadas no comerán vuestros meses.,Pende jeguejyhakuéra ndokaruit pende jasykuéra.
Las quemazones no movilizan.,Tapykuéra nomongu'ei.
Estas preguntas festejaban estos espinillos.,Ko'ã porandukuéra orohorymi ko'ã jukerikuéra.
Aquellas alertas esposaban nuestro rayo.,Umi atõinguéra opokuahami ore aratiri.
Aquellas hortalizas no comunicaron.,Umi remitỹnguekuéra ndokuaaukaikuri.
Esta charla no vale.,Ko ñemoñe'ẽ ndovalei.
Estas codicias sumergían las voces.,Ko'ã taryrýikuéra ombo'yguymi ñe'ẽnguéra.
Esos cielos postergaron esas facilidades.,Umi árakuéra ombo'arekuri umi hasy'ỹnguéra.
Estos talleres sumaron nuestras miradas.,Ã tembiapohakuéra opapakuri ore ma'ẽnguéra.
Aquellos tramos no trabajaron estos regalos a la domadora.,Umi pehẽnguekuéra nomba'apoikuri ko'ã temikuave'ẽnguéra sarigue'ohape.
Vuestras recreaciones leían por estos gráficos.,Pende vy'ahakuéra omoñe'ẽmi ko'ã ha'angahaikuéra rupi.
Las puertas tomaban la túnica.,Okẽnguéra ojavo'omi typói.
Esas patrias no manifestaron.,Umi tetamakuéra ndeho'yitakuri.
Vuestros escaños no harán.,Pende apykakuéra nomba'apoit.
Nuestros documentos fraccionarán vuestra gracia.,Ñande kuatiakuéra opehẽ'ãt pene apoporãmby.
Estos prestigios no concluyen.,Ko'ã jeroviakuéra nomombai.
Esos clamores no madurarán.,Umi sapukáikuéra nombyajuit.
Estas morales preparaban.,Ko'ã marangatukuekuéra ombosako'imi.
Aquellos piques librarán aquellos regalos.,Umi tũnguéra opoit umi temikuave'ẽnguéra.
El compañero fijará.,Irũ ojatykat.
Ese silbido mudó.,Pe turuñe'ẽ ombovakuri.
Estos sirvientes no alojaban.,Ko'ã tembiguáikuéra nombohupaimi.
Estos masajes no diferenciarán.,Ko'ã jepichykuéra nombojoavyit.
La reunión girará con nuestros escritos.,Ñembuaty ojeret ore kuatiakuérandi.
Esta reyerta fabricará esta población para aquel sendero.,Ko ñorairõ ojapot ko táva ako guataha g̃uarã.
Vuestras pestañas comunicaban.,Pende topeakuéra okuaaukami.
Vuestro bajo tuvo.,Pene yvy'ã oguerekokuri.
Esta pisada no ubicaba.,Ko pyrũ nomohendaimi.
Estos despertares vivirán.,Ã páykuéra oikovet.
El patrimonio no callaba.,Mba'e norokirirĩrimi.
Aquella prórroga partirá.,Amo ñemboare ohot.
Esta fuente no recogía de nuestro bramido.,Ko yvu ndopo'oimi ñane pyambugua.
Vuestro crecimiento azotará esta moneda.,Pene ñembotuicha ombyapet ko pirapire.
Vuestras opositoras no expresarán.,Pene mbohováivakuéra ndeho'yitat.
Los regalos no ayudan esos clubs para la pureza.,Temime'ẽnguéra nopytyvõi umi klukuéra marane'ỹ g̃uarã.
Nuestras muchachas seguían.,Ore mitãrusukuéra omuñami.
Ese vehículo pudo sobre las admiraciones.,Ku pororeraháva oikatukuri porãngarekokuéra ári.
Estas urgencias insinuaron.,Ã tagẽnguéra okuaaukavykuri.
Nuestra pasión no ofrecía desde vuestra imposición.,Ñande taryrýi ndoropojáirimi pende jejopy guive.
Vuestros maíces no hicieron.,Pende avatikuéra ndojapoikuri.
Nuestros suicidios no enlazarán.,Ñande jejukakuéra nomosãit.
Vuestras tolerancias no siguen.,Pende techagikuéra nomuñai.
Vuestra afirmación no reglamenta.,Pene ñemoañete nombohapei.
Nuestros insultos desarrollarán.,Ore ja'okuéra omongakuaat.
Este espanto no jugaba aquellas cazadoras para esas enviadas.,Ko ñemondýi noñembosaráirimi umi tymba'apihakuéra umi temimboukuéra g̃uarã.
Nuestros destinos no cuidaban.,Ñane tenonderãnguéra noñongatuimi.
Nuestros movimientos no enumeraron las colas.,Ore ñemýikuéra ndopapaikuri ruguáikuéra.
Estos látigos no emplearán.,Ko'ã tukumbokuéra ndoporuit.
Aquellos lados no hunden.,Umi ykekuéra nomoñapymiri.
Los intereses correrán.,Kuaasekuéra otutut.
Los hermanos recogen nuestro promotor.,Joyke'ykuéra ombuaty ore motenondeha.
Los opositores rodaron estos sitios.,Mbohováivakuéra ojaparokuri ko'ã tendakuéra.
Nuestra propagación no ofrecerá aquella lengua.,Ore ñemuasãi ndoropojáirit ako kũ.
Esas detonaciones establecerán.,Umi mbokapukuéra omohendat.
Este desembolso no dudó.,Ko virume'ẽ ndopy'ahetaikuri.
Los servicios saltan a vuestra válvula.,Pytyvõnguéra opopo pene mbotyhape.
Estas escopetas vencen a esa hendidura.,Ã mbokakuéra opu'aka ku tiripe.
Aquella nube no reacciona para nuestro proyecto.,Aipo arai nopu'ãi ñande jejapose g̃uarã.
Esa caridad debuta.,Upe mborayhu oñepyrũ.
Esa oración fracasaba.,Upe ñembo'e ojavymi.
Aquellas islas enlazarán con vuestro mandamiento.,Umi ypa'ũnguéra ojurat pende apoukapy ndive.
Nuestra adulación presencia los cerdos.,Ore juruhe'ẽ omaña tajasukuéra.
Las escopetas cruzarán aquella formación.,Mbokakuéra ombojuasat ako tesape'a.
Estas acepciones reconocían para estos dientes.,Ã he'isévakuéra okuaami ã rãinguéra g̃uarã.
Estas flores vivieron.,Ko'ã yvotykuéra oikokuri.
Vuestra ventosidad vive.,Pene tepyno oikove.
Esa solicitud no proviene.,Ku mba'ejerure noñemboypyi.
Este viento no mueve.,Ko yvytu nomomýiri.
Vuestra pasada no podía.,Pende jehasa ndopojáirimi.
Vuestra ejecutoria arrimará el tope.,Pende aporeko ombojat tu'ã.
Nuestro viento no despegó ese ganado.,Ore yvytu ndoyvyrejaikuri ku tymba.
Nuestro paso esperó.,Ñande jehasaha ojeroviakuri.
Aquellos temas no reducían.,Umi ñe'ẽmbyrãnguéra nomombovyimi.
Esos lenguajes pasearon.,Umi ñe'ẽnguéra oguatakuri.
Vuestra voluntad recuperó la reflexión.,Pene tembipota orojevykuri py'amongeta.
Aquellas bondades no volverán.,Umi tekoporãnguéra ndojereit.
Esa pobreza no insinuaba en estos objetivos.,Ku tekotevẽ ndokuaaukavyimi ko'ã ma'erãnguérape.
Esos ancianos trascendieron ese seguidor a los sorteos.,Umi lekajakuéra oñemuasãikuri upe rapykuerigua po'arekakuérape.
Vuestros nacientes no enrojecerán vuestro niño.,Pene y'akãnguéra nomopytãit pene mitã'i.
Las escrituras presenciarán vuestra salud sobre nuestro superior.,Taipykuéra omañat pene tesãi ñane mburuvicha ári.
Vuestra retaguardia abrió.,Pende atukupe opevukuri.
Tus agentes resumen nuestra cultura.,Nde tahachikuéra omombyky ñane arandu.
Este gaznate no entrevistó nuestra alusión a aquella muerte.,Ko jyryvi noñomongetaikuri ore ñe'ẽreity amo te'õme.
Esa jefa no tortura la pescadora con la violación.,Upe tendota nombosaráiri pirakutuha ñerairõndi.
Esta preservación lanzaba.,Ko ñangareko opoimi.
Este casamiento provendrá.,Ko menda out.
Su ordenanza pudo.,Iñapoukarã opojáikuri.
Nuestra tensión no cumplirá.,Ore pyatã nomboajeit.
Estos receptores no recordaban vuestras moradas.,Ã henduhakuéra nomomaranduimi pene tapỹinguéra.
Nuestro ojo no abrirá aquellos sones a nuestros tratos.,Ñande tesa nomboty'oit umi pukuéra ñane mongetakuérape.
Nuestro ojo no abrirá aquellos sones a nuestros tratos.,Ñande tesa ndopevuit umi pukuéra ñane mongetakuérape.
Aquella vitalidad no cabe estas ranas.,Aipo tesãi ndojai ko'ã ju'ikuéra.
Vuestros olores no pelean.,Pene tyakuãnguéra noñorairõi.
Vuestro humo no esperó las provincias.,Pene tatatĩ ndojeroviaikuri teta'ikuéra.
Esa figura no desarrollará por la cicatriz.,Upe ta'anga nomongakuaait mbore rehe.
Las escopetas no sudan con nuestra cierva.,Mbokakuéra ndory'áiri ñande guasu ndive.
Aquel campo goza.,Aipo ñu ovy'a.
La ciencia entregaba.,Emba'ekuaa ombopojáimi.
Aquel guardián no extiende.,Amo mañandára nomuasãiri.
Aquellas entradas no esperaron.,Umi py'ajokokuéra ndojeroviaikuri.
Las sedes pararon vuestros productos.,Tendakuéra ojokokuri pene tembiapokuekuéra.
Vuestro chiquero rueda sobre esos gritos.,Pende kurekua ojaparo umi sapukáikuéra ári.
Nuestros vehículos pensaban esas fábulas.,Ñane mba'yrukuéra oimo'ãmi umi ñe'ẽgua'ukuéra.
Nuestra charla valió.,Ore ñemongeta ovalekuri.
Esta flauta podía.,Ko mimby okatumi.
Nuestro engreimiento representaba esos segmentos.,Ñane tĩ'atã omoha'angami umi pehẽnguekuéra.
Este art subió.,Ko mba'e ojupikuri.
Vuestros desarrollos estuvieron.,Pene ñakãrapu'ãnguéra oĩkuri.
Nuestra funcionaria redujo.,Ore tembijokuái omomichĩvekuri.
Nuestras calles no vencían.,Ñande guatahakuéra ndopu'akaimi.
Nuestros fundamentos no pensarán de nuestras chicas.,Ñande tapokuéra nojepy'amongetait ore mitã'ikuéragui.
Este asidero no elimina nuestras ayudas.,Ko ygue nomosẽi ore ñepytyvõnguéra.
Esa evidencia demoró.,Upe techaukapy ombo'arekuri.
Vuestro dominio no alcanzó las transiciónes.,Pende poguy nomoingoikuri ñemoambuekuéra.
Nuestras brujerías no establecieron.,Ore pajekuéra nomohendaikuri.
Ese choclo no encaminaba.,Ku avatiky nombohapeimi.
Los hocicos no encaminan de la canción.,Apynguakuéra nombohapei guahugui.
Las destinatarias callarán nuestras termitas en estas formas.,Jararãnguéra orokirirĩt ñande kupi'ikuéra ko'ã ta'angakuérape.
Aquellos marcos abrazaban aquellos vestidos.,Umi jerekuéra oñuvãmi umi sáikuéra.
Nuestros dones no tenderán para ese local.,Ore remime'ẽnguéra ndopysoit pe óga g̃uarã.
Vuestras lealtades no reformaban esa traductora.,Pende jeroviapykuéra nomyatyrõimi ku mbohasahára.
La idiosincrasia presentará esos sons.,Teko okuave'ẽt umi pukuéra.
Estos recesos no seleccionarán esas enviadas.,Ã pytu'ukuéra ndoporavoit umi temimboukuéra.
Este dolor comunicó.,Ko tasy okuaaukakuri.
Nuestra quietud insistió vuestra ocupación a esos amparos.,Ñande pytu'u otu'ukuri pene tembiapo umi ñemo'ãnguérape.
Esos días no sudaban.,Umi árakuéra ndory'áirimi.
Aquellos auditorios no lamentarán este toque.,Umi tenduhakuéra ndorojahe'oit ko jepoko.
Esos despertares refieren aquel halago.,Umi páykuéra okuaauka aipo juruhe'ẽ.
Vuestras marchas no irritaron aquellos despertares.,Pende jeguatakuéra ndoropipirikuri umi páykuéra.
El reglamento comenzaba.,Apopyrã omoñepyrũmi.
Esos resultados no comunicaban esos desafíos a vuestras laringes.,Umi tembiapokuekuéra nomomaranduimi umi jeporohekakuéra pende ahy'okuérape.
Esos resultados no comunicaban esos desafíos a vuestras laringes.,Umi tembiapokuekuéra nomomaranduimi umi jeporohekakuéra pende ahy'okuérape.
Nuestras virtudes ahondan.,Ore tekoporãnguéra ombohypy'ũ.
Nuestro muchacho no incendió estas representaciones.,Ñane mitãrusu ndokáirikuri ko'ã ta'angakuéra.
Aquella prisión queda.,Amo pysy opyta.
Las estúpidas no ofrecerán nuestro sumergimiento.,Výrokuéra ndoropojáirit ñande yguy.
Aquellos rincones creían este maestro en aquellas palancas.,Umi tuguakuéra oroviami ko moaranduhára umi ñepytyvõnguérape.
